Date,Federal Funds Target Rate,Federal Funds Upper Target,Federal Funds Lower Target,Effective Federal Funds Rate,Real GDP (Percent Change),Unemployment Rate,Inflation Rate
4/1/1976,,,,4.82,3.1,7.7,6.4
5/1/1976,,,,5.29,,7.4,6.5
6/1/1976,,,,5.48,,7.6,6.5
7/1/1976,,,,5.31,2.1,7.8,6.7
8/1/1976,,,,5.29,,7.8,6.8
9/1/1976,,,,5.25,,7.6,6.8
10/1/1976,,,,5.02,3,7.7,6.7
11/1/1976,,,,4.95,,7.8,6.5
12/1/1976,,,,4.65,,7.8,6.1
1/1/1977,,,,4.61,4.7,7.5,6.3
2/1/1977,,,,4.68,,7.6,6.3
3/1/1977,,,,4.69,,7.4,6.2
4/1/1977,,,,4.73,8.1,7.2,6.3
5/1/1977,,,,5.35,,7,6.3
6/1/1977,,,,5.39,,7.2,6.6
7/1/1977,,,,5.42,7.3,6.9,6.3
8/1/1977,,,,5.9,,7,6.2
9/1/1977,,,,6.14,,6.8,6.2
10/1/1977,,,,6.47,0,6.8,6
11/1/1977,,,,6.51,,6.8,5.9
12/1/1977,,,,6.56,,6.4,6.5
1/1/1978,,,,6.7,1.4,6.4,6.4
2/1/1978,,,,6.78,,6.3,6.2
3/1/1978,,,,6.79,,6.3,6.3
4/1/1978,,,,6.89,16.5,6.1,6.5
5/1/1978,,,,7.36,,6,6.8
6/1/1978,,,,7.6,,5.9,7
7/1/1978,,,,7.81,4,6.2,7.4
8/1/1978,,,,8.04,,5.9,7.5
9/1/1978,,,,8.45,,6,7.9
10/1/1978,,,,8.96,5.5,5.8,8.4
11/1/1978,,,,9.76,,5.9,8.7
12/1/1978,,,,10.03,,6,8.5
1/1/1979,,,,10.07,0.8,5.9,8.6
2/1/1979,,,,10.06,,5.9,9.2
3/1/1979,,,,10.09,,5.8,9.3
4/1/1979,,,,10.01,0.5,5.8,9.3
5/1/1979,,,,10.24,,5.6,9.4
6/1/1979,,,,10.29,,5.7,9.3
7/1/1979,,,,10.47,2.9,5.7,9.6
8/1/1979,,,,10.94,,6,10
9/1/1979,,,,11.43,,5.9,9.9
10/1/1979,,,,13.77,1,6,10.1
11/1/1979,,,,13.18,,5.9,10.6
12/1/1979,,,,13.78,,6,11.3
1/1/1980,,,,13.82,1.3,6.3,12
2/1/1980,,,,14.13,,6.3,12
3/1/1980,,,,17.19,,6.3,12.5
4/1/1980,,,,17.61,-7.9,6.9,13
5/1/1980,,,,10.98,,7.5,13.3
6/1/1980,,,,9.47,,7.6,13.6
7/1/1980,,,,9.03,-0.6,7.8,12.4
8/1/1980,,,,9.61,,7.7,11.8
9/1/1980,,,,10.87,,7.5,12
10/1/1980,,,,12.81,7.6,7.5,12.3
11/1/1980,,,,15.85,,7.5,12.1
12/1/1980,,,,18.9,,7.2,12.2
1/1/1981,,,,19.08,8.5,7.5,11.4
2/1/1981,,,,15.93,,7.4,10.9
